NM_UE,SQ_CANDIDATO,DS_TIPO_BEM_CANDIDATO,VR_BEM_CANDIDATO
VITÓRIA DA CONQUISTA,50000962969,Terreno,50000.0
VITÓRIA DA CONQUISTA,50000962969,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",12000.0
VITÓRIA DA CONQUISTA,50000962970,Casa,200000.0
VITÓRIA DA CONQUISTA,50000962972,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",77000.0
VITÓRIA DA CONQUISTA,50000962972,Casa,150000.0
VITÓRIA DA CONQUISTA,50000962973,Casa,200000.0
VITÓRIA DA CONQUISTA,50000962973,Terreno,20000.0
VITÓRIA DA CONQUISTA,50000962973,Terreno,56000.0
VITÓRIA DA CONQUISTA,50000962973,Terreno,25000.0
VITÓRIA DA CONQUISTA,50000962973,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",40000.0
VITÓRIA DA CONQUISTA,50000962973,Casa,125000.0
VITÓRIA DA CONQUISTA,50000962974,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",40000.0
VITÓRIA DA CONQUISTA,50000963501,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",20000.0
VITÓRIA DA CONQUISTA,50000963505,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",12000.0
VITÓRIA DA CONQUISTA,50000963505,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",5000.0
VITÓRIA DA CONQUISTA,50000963508,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",24000.0
VITÓRIA DA CONQUISTA,50000963508,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",7000.0
VITÓRIA DA CONQUISTA,50000963508,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",26000.0
VITÓRIA DA CONQUISTA,50000963509,Depósito bancário em conta corrente no País,17000.0
VITÓRIA DA CONQUISTA,50000963509,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",20000.0
VITÓRIA DA CONQUISTA,50000963915,Casa,200000.0
VITÓRIA DA CONQUISTA,50000963920,Casa,60000.0
VITÓRIA DA CONQUISTA,50000963921,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",35000.0
VITÓRIA DA CONQUISTA,50000963921,Casa,200000.0
